cryptoclass	abbrev	feature_es	feature_ru	canonical_prototype_es	source
Res Liquidae	liq	líquido, que fluye	жидкое, текучее	agua	Boriskina 2011
Res Filiformes	fil	filiforme, flexible	нитевидное, гибкое	hilo	Boriskina 2011
Res Rotundae	rot	redondo	круглое	pelota	Boriskina 2011
Res Longae Penetrantes	pen	largo y penetrante	длинное проникающее	lanza	Boriskina 2011
Res Acutae	acu	agudo, punzante	остроконечное	aguja	Boriskina 2011
Res Parvae	par	pequeño y asible	малое, удержимое в руке	piedra	Boriskina 2011
Res Planae	pla	plano, liso	плоское, ровное	superficie plana	Golikova 2018
Res Continens	con	recipiente, que contiene	вместилище	recipiente	Zadobrivskaya 2019
